id,name,last_updated,size,garage_count,stories,is_active,is_attached,bath_count,bedroom_count,width,load,full_name
15,CALDWELL,"2021-03-22 19:23:45.782587",2042,2,2,1,0,2.5,3,30.5,Front,"CALDWELL 2 car"
16,BENJAMIN,"2021-03-22 19:23:45.481040",2590,2,2,1,0,2.5,3,30.0,Front,"BENJAMIN 2 car"
